elem,xc_m,yc_m,sigma_x_bottom_MPa,sigma_x_top_MPa,sigma_y_bottom_MPa,sigma_y_top_MPa,rho_x_bottom,rho_x_top,rho_y_bottom,rho_y_top,spacing_x_bottom_mm,spacing_x_top_mm,spacing_y_bottom_mm,spacing_y_top_mm,wk_est_x_bottom_mm,wk_est_x_top_mm,wk_est_y_bottom_mm,wk_est_y_top_mm,wk_est_x_mm,wk_est_y_mm,wk_limit_mm,wk_x_ok,wk_y_ok
0,0.5,0.5,194.45004063725474,275.08151154082844,194.45004063725474,275.08151154084413,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,327.24923474893683,327.24923474893683,327.24923474893683,327.24923474893683,0.08288324776746088,0.16587215543401848,0.08288324776746088,0.16587215543403744,0.16587215543401848,0.16587215543403744,0.3,True,True
1,1.5,0.5,267.9062492350456,310.5590062111758,267.9062492350456,310.55900621116365,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886587,327.24923474893683,216.42211730499662,327.24923474893683,308.6112532293359,0.15733174963689486,0.21141653008995334,0.15733174963689486,0.21141653008993674,0.21141653008995334,0.21141653008993674,0.3,True,True
2,2.5,0.5,266.9029286765718,310.5590062111838,266.9029286765718,304.85924596762055,0.0034906585039886596,0.003495242403340982,0.0034906585039886596,0.0034906585039886596,327.24923474893683,187.25409970772301,327.24923474893683,327.24923474893683,0.15615552777587036,0.21141653008996425,0.15615552777587036,0.20372739228783698,0.21141653008996425,0.20372739228783698,0.3,True,True
3,3.5,0.5,198.55541736213885,310.5590062111732,198.55541736213885,211.57866241570142,0.0034906585039886596,0.0034906585039886587,0.0034906585039886596,0.0034906585039886596,327.24923474893683,199.47431235616938,327.24923474893683,327.24923474893683,0.08641998082399878,0.2114165300899498,0.08641998082399878,0.09812833239709652,0.2114165300899498,0.09812833239709652,0.3,True,True
4,4.5,0.5,73.39439596090207,310.55900621116473,78.61634326003389,73.39439596090207,0.0034906585039886596,0.0034906585039886587,0.0034906585039886596,0.0034906585039886596,327.24923474893683,256.1156138250092,327.24923474893683,327.24923474893683,0.011808003824522455,0.21141653008993827,0.013548036642948392,0.011808003824522455,0.21141653008993827,0.013548036642948392,0.3,True,True
5,5.5,0.5,73.39439596095656,310.5590062111915,78.61634326015637,73.39439596095656,0.0034906585039886596,0.0034906585039886587,0.0034906585039886596,0.0034906585039886596,327.24923474893683,256.11561382500656,327.24923474893683,327.24923474893683,0.011808003824539986,0.2114165300899747,0.013548036642990603,0.011808003824539986,0.2114165300899747,0.013548036642990603,0.3,True,True
6,6.5,0.5,198.55541736213962,310.5590062111821,198.55541736213962,211.57866241564548,0.0034906585039886596,0.0034906585039886587,0.0034906585039886596,0.0034906585039886596,327.24923474893683,199.4743123561822,327.24923474893683,327.24923474893683,0.08641998082399945,0.21141653008996195,0.08641998082399945,0.09812833239704465,0.21141653008996195,0.09812833239704465,0.3,True,True
7,7.5,0.5,266.9029286766302,310.5590062111831,266.9029286766302,304.85924596760344,0.0034906585039886596,0.003495242403341337,0.0034906585039886596,0.0034906585039886596,327.24923474893683,187.25409970770397,327.24923474893683,327.24923474893683,0.15615552777593877,0.21141653008996322,0.15615552777593877,0.20372739228781414,0.21141653008996322,0.20372739228781414,0.3,True,True
8,8.5,0.5,267.90624923504294,310.5590062111734,267.90624923504294,310.55900621115535,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886587,327.24923474893683,216.4221173049986,327.24923474893683,308.61125322939324,0.15733174963689175,0.21141653008995007,0.15733174963689175,0.21141653008992548,0.21141653008995007,0.21141653008992548,0.3,True,True
9,9.5,0.5,194.450040637254,275.08151154085124,194.450040637254,275.08151154085937,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,327.24923474893683,327.24923474893683,327.24923474893683,327.24923474893683,0.08288324776746024,0.16587215543404596,0.08288324776746024,0.16587215543405576,0.16587215543404596,0.16587215543405576,0.3,True,True
10,0.5,1.5,267.90624923503975,310.55900621118144,267.90624923503975,310.5590062111921,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,327.24923474893683,308.6112532293995,327.24923474893683,216.42211730498715,0.157331749636888,0.211416530089961,0.157331749636888,0.21141653008997557,0.211416530089961,0.21141653008997557,0.3,True,True
11,1.5,1.5,310.559006211181,310.55900621118536,310.559006211181,310.5590062111912,0.0034906585039886587,0.0034906585039886587,0.0034906585039886587,0.0034906585039886596,295.8067367852874,196.72860585406002,295.8067367852874,196.72860585405076,0.2114165300899604,0.21141653008996633,0.2114165300899604,0.2114165300899743,0.21141653008996633,0.2114165300899743,0.3,True,True
12,2.5,1.5,310.5590062111861,310.5590062111837,310.5590062111861,310.5590062112023,0.0034906585039886587,0.004398897218522328,0.0034906585039886587,0.0034906585039886596,286.59732352205515,148.78694295060887,286.59732352205515,212.55148370208437,0.2114165300899673,0.2114165300899641,0.2114165300899673,0.2114165300899894,0.2114165300899673,0.2114165300899894,0.3,True,True
13,3.5,1.5,273.01809279602196,310.55900621117837,273.01809279602196,310.55900621119133,0.0034906585039886596,0.004688347593367575,0.0034906585039886596,0.0034906585039886596,327.24923474893683,139.60109750048554,327.24923474893683,318.48491183005837,0.16339303546204403,0.2114165300899568,0.16339303546204403,0.21141653008997446,0.2114165300899568,0.21141653008997446,0.3,True,True
14,4.5,1.5,102.33523428664509,310.5590062111792,112.7255878067808,102.33523428664509,0.0034906585039886596,0.004012301749882453,0.0034906585039886596,0.0034906585039886596,327.24923474893683,163.1229429633622,327.24923474893683,327.24923474893683,0.022956256061401212,0.21141653008995798,0.027854521430328693,0.022956256061401212,0.21141653008995798,0.027854521430328693,0.3,True,True
15,5.5,1.5,102.33523428666385,310.5590062111775,112.72558780680234,102.33523428666385,0.0034906585039886596,0.004012301749882545,0.0034906585039886596,0.0034906585039886596,327.24923474893683,163.12294296335844,327.24923474893683,327.24923474893683,0.022956256061409625,0.21141653008995562,0.02785452143033934,0.022956256061409625,0.21141653008995562,0.02785452143033934,0.3,True,True
16,6.5,1.5,273.01809279605084,310.55900621118246,273.01809279605084,310.55900621117775,0.0034906585039886596,0.0046883475933676465,0.0034906585039886596,0.0034906585039886596,327.24923474893683,139.6010975004834,327.24923474893683,318.4849118300326,0.1633930354620786,0.21141653008996236,0.1633930354620786,0.21141653008995595,0.21141653008996236,0.21141653008995595,0.3,True,True
17,7.5,1.5,310.5590062111754,310.559006211178,310.5590062111754,310.55900621117337,0.0034906585039886596,0.004398897218522625,0.0034906585039886596,0.0034906585039886596,286.59732352202644,148.7869429505988,286.59732352202644,212.55148370206055,0.21141653008995276,0.21141653008995626,0.21141653008995276,0.21141653008994998,0.21141653008995626,0.21141653008995276,0.3,True,True
18,8.5,1.5,310.5590062111804,310.55900621118184,310.5590062111804,310.55900621118155,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886587,295.80673678525346,196.72860585404706,295.80673678525346,196.72860585404126,0.2114165300899596,0.21141653008996153,0.2114165300899596,0.21141653008996114,0.21141653008996153,0.21141653008996114,0.3,True,True
19,9.5,1.5,267.90624923505743,310.5590062111823,267.90624923505743,310.559006211183,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,327.24923474893683,308.6112532293895,327.24923474893683,216.42211730498587,0.1573317496369088,0.21141653008996214,0.1573317496369088,0.21141653008996308,0.21141653008996214,0.21141653008996308,0.3,True,True
20,0.5,2.5,266.90292867660685,304.8592459676021,266.90292867660685,310.55900621118235,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.003495242403341257,327.24923474893683,327.24923474893683,327.24923474893683,187.25409970770826,0.1561555277759114,0.20372739228781234,0.1561555277759114,0.21141653008996225,0.20372739228781234,0.21141653008996225,0.3,True,True
21,1.5,2.5,310.5590062111798,310.55900621118167,310.5590062111798,310.55900621118,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.004398897218522496,286.5973235220432,212.55148370207473,286.5973235220432,148.78694295060316,0.21141653008995875,0.21141653008996128,0.21141653008995875,0.21141653008995906,0.21141653008996128,0.21141653008995906,0.3,True,True
22,2.5,2.5,310.55900621117877,310.5590062111804,310.55900621117877,310.5590062111803,0.0034906585039886596,0.005079789135421312,0.0034906585039886596,0.005079789135421338,239.8540791020187,128.84362953849075,239.8540791020187,128.8436295384901,0.21141653008995737,0.2114165300899596,0.21141653008995737,0.21141653008995945,0.2114165300899596,0.21141653008995945,0.3,True,True
23,3.5,2.5,310.55900621117945,310.55900621117814,310.55900621117945,310.5590062111791,0.0034906585039886587,0.006874546544034939,0.0034906585039886587,0.004355378744381889,257.97581151105624,95.20605690942389,257.97581151105624,150.2736060192532,0.21141653008995828,0.21141653008995653,0.21141653008995828,0.21141653008995778,0.21141653008995828,0.21141653008995828,0.3,True,True
24,4.5,2.5,147.5781561091237,310.55900621118195,147.5781561091237,310.5590062111832,0.0034906585039886596,0.00647541009286435,0.0034906585039886596,0.0034906585039886587,327.24923474893683,101.07444317991619,327.24923474893683,317.15376334237806,0.0477413662805191,0.21141653008996172,0.0477413662805191,0.2114165300899634,0.21141653008996172,0.2114165300899634,0.3,True,True
25,5.5,2.5,147.5781561091409,310.55900621118104,147.5781561091409,310.55900621118565,0.0034906585039886596,0.006475410092864479,0.0034906585039886596,0.0034906585039886596,327.24923474893683,101.07444317991418,327.24923474893683,317.15376334236254,0.04774136628053023,0.21141653008996045,0.04774136628053023,0.21141653008996672,0.21141653008996045,0.21141653008996672,0.3,True,True
26,6.5,2.5,310.5590062111833,310.55900621117996,310.5590062111833,310.55900621118053,0.0034906585039886587,0.0068745465440350866,0.0034906585039886587,0.004355378744382048,257.97581151104504,95.2060569094218,257.97581151104504,150.2736060192477,0.21141653008996356,0.21141653008995898,0.21141653008996356,0.21141653008995978,0.21141653008996356,0.21141653008996356,0.3,True,True
27,7.5,2.5,310.5590062111781,310.5590062111799,310.5590062111781,310.5590062111791,0.0034906585039886596,0.005079789135421608,0.0034906585039886596,0.005079789135421656,239.8540791020007,128.8436295384832,239.8540791020007,128.843629538482,0.21141653008995642,0.2114165300899589,0.21141653008995642,0.21141653008995778,0.2114165300899589,0.21141653008995778,0.3,True,True
28,8.5,2.5,310.5590062111802,310.55900621118167,310.5590062111802,310.5590062111804,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.00439889721852274,286.5973235220236,212.55148370206422,286.5973235220236,148.7869429505949,0.2114165300899593,0.21141653008996128,0.2114165300899593,0.2114165300899596,0.21141653008996128,0.2114165300899596,0.3,True,True
29,9.5,2.5,266.90292867663027,304.85924596762146,266.90292867663027,310.55900621117894,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034952424033414956,327.24923474893683,327.24923474893683,327.24923474893683,187.2540997076955,0.15615552777593883,0.20372739228783823,0.15615552777593883,0.21141653008995762,0.20372739228783823,0.21141653008995762,0.3,True,True
30,0.5,3.5,198.55541736213297,211.57866241565802,198.55541736213297,310.5590062111791,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,327.24923474893683,327.24923474893683,327.24923474893683,199.47431235617051,0.08641998082399367,0.09812833239705626,0.08641998082399367,0.21141653008995778,0.09812833239705626,0.21141653008995778,0.3,True,True
31,1.5,3.5,273.01809279603015,310.55900621118735,273.01809279603015,310.5590062111807,0.0034906585039886596,0.0034906585039886587,0.0034906585039886596,0.00468834759336774,327.24923474893683,318.48491183004353,327.24923474893683,139.60109750048062,0.16339303546205386,0.21141653008996905,0.16339303546205386,0.21141653008995998,0.21141653008996905,0.21141653008995998,0.3,True,True
32,2.5,3.5,310.5590062111805,310.55900621117905,310.5590062111805,310.55900621117945,0.0034906585039886596,0.004355378744381836,0.0034906585039886596,0.006874546544035145,257.97581151105976,150.27360601925503,257.97581151105976,95.20605690942102,0.21141653008995967,0.21141653008995778,0.21141653008995967,0.21141653008995828,0.21141653008995967,0.21141653008995967,0.3,True,True
33,3.5,3.5,310.55900621117854,310.5590062111801,310.55900621117854,310.55900621118013,0.0034906585039886587,0.00897904400722491,0.0034906585039886587,0.00897904400722514,199.74765866355384,72.89177656009227,199.74765866355384,72.8917765600904,0.21141653008995706,0.21141653008995911,0.21141653008995706,0.21141653008995923,0.21141653008995911,0.21141653008995923,0.3,True,True
34,4.5,3.5,310.559006211179,310.5590062111793,310.559006211179,310.55900621117985,0.0034906585039886596,0.011442016468060437,0.0034906585039886596,0.006827135691291633,315.6169442630507,57.20132210304529,315.6169442630507,95.86721270718562,0.21141653008995767,0.21141653008995806,0.21141653008995767,0.21141653008995884,0.21141653008995806,0.21141653008995884,0.3,True,True
35,5.5,3.5,310.559006211179,310.5590062111804,310.559006211179,310.55900621117974,0.0034906585039886596,0.011442016468060501,0.0034906585039886596,0.00682713569129168,315.61694426303677,57.20132210304497,315.61694426303677,95.86721270718495,0.21141653008995767,0.2114165300899596,0.21141653008995767,0.2114165300899587,0.2114165300899596,0.2114165300899587,0.3,True,True
36,6.5,3.5,310.55900621118053,310.5590062111793,310.55900621118053,310.5590062111798,0.0034906585039886587,0.008979044007225212,0.0034906585039886587,0.008979044007225262,199.7476586635451,72.89177656008981,199.7476586635451,72.89177656008941,0.21141653008995978,0.21141653008995806,0.21141653008995978,0.21141653008995875,0.21141653008995978,0.21141653008995978,0.3,True,True
37,7.5,3.5,310.5590062111805,310.5590062111796,310.5590062111805,310.5590062111797,0.0034906585039886587,0.004355378744382136,0.0034906585039886587,0.006874546544035345,257.97581151103697,150.27360601924468,257.97581151103697,95.20605690941825,0.21141653008995967,0.2114165300899585,0.21141653008995967,0.2114165300899586,0.21141653008995967,0.21141653008995967,0.3,True,True
38,8.5,3.5,273.0180927960602,310.5590062111847,273.0180927960602,310.55900621118127,0.0034906585039886596,0.0034906585039886587,0.0034906585039886596,0.004688347593367945,327.24923474893683,318.4849118300138,327.24923474893683,139.60109750047454,0.1633930354620898,0.2114165300899654,0.1633930354620898,0.21141653008996075,0.2114165300899654,0.21141653008996075,0.3,True,True
39,9.5,3.5,198.555417362154,211.57866241565634,198.555417362154,310.5590062111817,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,327.24923474893683,327.24923474893683,327.24923474893683,199.4743123561637,0.08641998082401196,0.0981283323970547,0.08641998082401196,0.2114165300899614,0.0981283323970547,0.2114165300899614,0.3,True,True
40,0.5,4.5,78.61634326008907,73.394395960935,73.394395960935,310.5590062111794,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,327.24923474893683,327.24923474893683,327.24923474893683,256.1156138249729,0.013548036642967406,0.01180800382453305,0.01180800382453305,0.21141653008995823,0.013548036642967406,0.21141653008995823,0.3,True,True
41,1.5,4.5,112.7255878067622,102.33523428664401,102.33523428664401,310.55900621118394,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.004012301749882674,327.24923474893683,327.24923474893683,327.24923474893683,163.12294296335318,0.027854521430319506,0.02295625606140073,0.02295625606140073,0.21141653008996442,0.027854521430319506,0.21141653008996442,0.3,True,True
42,2.5,4.5,147.5781561091227,310.55900621117905,147.5781561091227,310.5590062111797,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.006475410092864549,327.24923474893683,317.15376334239096,327.24923474893683,101.0744431799131,0.047741366280518435,0.21141653008995778,0.047741366280518435,0.2114165300899586,0.21141653008995778,0.2114165300899586,0.3,True,True
43,3.5,4.5,310.559006211181,310.5590062111805,310.559006211181,310.5590062111796,0.0034906585039886596,0.006827135691291409,0.0034906585039886596,0.011442016468060546,315.61694426305394,95.86721270718876,315.61694426305394,57.201322103044745,0.2114165300899604,0.21141653008995967,0.2114165300899604,0.2114165300899585,0.2114165300899604,0.2114165300899604,0.3,True,True
44,4.5,4.5,305.17399398204986,310.55900621118093,305.17399398204986,310.55900621118076,0.0034906585039886596,0.01788293517727266,0.0034906585039886596,0.017882935177272838,327.24923474893683,36.5990517222068,327.24923474893683,36.59905172220645,0.2041482809073086,0.17659267657307356,0.2041482809073086,0.17659267657307195,0.2041482809073086,0.2041482809073086,0.3,True,True
45,5.5,4.5,305.17399398206913,310.5590062111799,305.17399398206913,310.5590062111804,0.0034906585039886596,0.017882935177272907,0.0034906585039886596,0.01788293517727306,327.24923474893683,36.59905172220629,327.24923474893683,36.59905172220599,0.2041482809073344,0.17659267657307093,0.2041482809073344,0.17659267657306998,0.2041482809073344,0.2041482809073344,0.3,True,True
46,6.5,4.5,310.5590062111791,310.559006211181,310.5590062111791,310.5590062111797,0.0034906585039886587,0.006827135691291833,0.0034906585039886587,0.01144201646806099,315.61694426301995,95.86721270718277,315.61694426301995,57.20132210304253,0.21141653008995778,0.2114165300899604,0.21141653008995778,0.2114165300899586,0.2114165300899604,0.2114165300899586,0.3,True,True
47,7.5,4.5,147.57815610914764,310.55900621117667,147.57815610914764,310.55900621117996,0.0034906585039886596,0.0034906585039886587,0.0034906585039886596,0.006475410092864826,327.24923474893683,317.15376334234537,327.24923474893683,101.07444317990877,0.04774136628053458,0.21141653008995445,0.04774136628053458,0.21141653008995898,0.21141653008995445,0.21141653008995898,0.3,True,True
48,8.5,4.5,112.72558780679884,102.33523428666837,102.33523428666837,310.55900621118076,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0040123017498827586,327.24923474893683,327.24923474893683,327.24923474893683,163.12294296334974,0.02785452143033761,0.02295625606141166,0.02295625606141166,0.21141653008996006,0.02785452143033761,0.21141653008996006,0.3,True,True
